case	processid	sampleid	kingdom	phylum	class	order	family	subfamily	genus	species	subspecies	identification	identification_rank	bin_uri	nuc_basecount	voucher_type	inst	museumid	identified_by	identification_method	country.ocean	coord	site	sector	region	collectors	collection_date_start	collection_date_end	taxonomy_notes	short_note	collection_notes	notes
species:clean binomial	PAR0001	S0001	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0900	658																	
species:R keeps it: its destructive pattern anchors ^sp\.	PAR0002	S0002	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus sp.		Danaus sp.	species	BOLD:AAA0900	658																	
species:both reject: spp\. is unanchored in R	PAR0003	S0003	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus spp.		Danaus spp.	species	BOLD:AAA0900	658																	
species:both reject	PAR0004	S0004	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus cf. plexippus		Danaus cf. plexippus	species	BOLD:AAA0900	658																	
species:both reject	PAR0005	S0005	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus aff. plexippus		Danaus aff. plexippus	species	BOLD:AAA0900	658																	
species:R keeps it: ' nr ' is absent from R's pattern	PAR0006	S0006	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Apis nr mellifera		Apis nr mellifera	species	BOLD:AAA0900	658																	
species:both reject: digit	PAR0007	S0007	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Vanessa atalanta 2		Vanessa atalanta 2	species	BOLD:AAA0900	658																	
species:empty	PAR0008	S0008	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus				species	BOLD:AAA0900	658																	
species:R keeps the literal 'None'; Python treats it as missing	PAR0009	S0009	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	None		None	species	BOLD:AAA0900	658																	
species:R keeps the literal 'NA'; Python treats it as missing	PAR0010	S0010	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	NA		NA	species	BOLD:AAA0900	658																	
species:both trim to a valid name	PAR0011	S0011	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	  Pieris rapae  		  Pieris rapae  	species	BOLD:AAA0900	658																	
seq_quality:exactly at the threshold	PAR0012	S0012	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002	500																	
seq_quality:one below	PAR0013	S0013	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002	499																	
seq_quality:one above	PAR0014	S0014	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002	501																	
seq_quality:no BIN	PAR0015	S0015	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species		658																	
seq_quality:no basecount	PAR0016	S0016	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002																		
seq_quality:basecount is the literal 'None'	PAR0017	S0017	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002	None																	
seq_quality:basecount is the literal 'NA'	PAR0018	S0018	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002	NA																	
seq_quality:unparseable basecount	PAR0019	S0019	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species	BOLD:AAA0002	not a number																	
public_voucher:hits positive 'registered' first, so it PASSES	PAR0020	S0020	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			not registered																
public_voucher:plain positive	PAR0021	S0021	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			Museum Voucher																
public_voucher:negative	PAR0022	S0022	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			DNA extract																
public_voucher:negative	PAR0023	S0023	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			no voucher																
public_voucher:negative	PAR0024	S0024	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			Photo Voucher Only																
public_voucher:positive	PAR0025	S0025	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			herbarium sheet																
public_voucher:empty	PAR0026	S0026	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			
type:voucher_type contains 'type' (shortcut)	PAR0027	S0027	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species			Type material																
type:positive pattern in notes	PAR0028	S0028	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			paratype of Smith 1998
type:positive pattern in taxonomy_notes	PAR0029	S0029	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																holotype			
type:no type evidence	PAR0030	S0030	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			an ordinary specimen
identifier:real person	PAR0031	S0031	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species						A. Smith													
identifier:blacklisted	PAR0032	S0032	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species						Kate Perez													
identifier:blacklisted	PAR0033	S0033	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species						BOLD													
identifier:literal None	PAR0034	S0034	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species						None													
identifier:empty	PAR0035	S0035	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			
id_method:accepted	PAR0036	S0036	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species							Morphology												
id_method:rejected	PAR0037	S0037	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species							BOLD ID Engine												
id_method:rejected	PAR0038	S0038	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species							Tree based												
id_method:literal None	PAR0039	S0039	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species							None												
id_method:empty	PAR0040	S0040	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			
institution:accepted	PAR0041	S0041	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species				Natural History Museum															
institution:rejected	PAR0042	S0042	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species				Personal collection															
institution:rejected	PAR0043	S0043	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species				unknown															
institution:rejected	PAR0044	S0044	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species				GenBank															
institution:empty	PAR0045	S0045	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			
rank:1 - type specimen with a clean name	PAR0046	S0046	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Danainae	Danaus	Danaus plexippus		Danaus plexippus	species																			holotype
