"species","bags_grade","specimen_count","bin_count","shared_bins"
"Apis nr mellifera","E","1","1","TRUE"
"Bagsus decem","B","10","1","FALSE"
"Bagsus duo","D","2","1","FALSE"
"Bagsus multibin","C","6","2","FALSE"
"Bagsus nobin","B","4","0","FALSE"
"Bagsus sharedone","E","4","1","TRUE"
"Bagsus sharedtwo","E","4","1","TRUE"
"Bagsus tres","B","3","1","FALSE"
"Bagsus undecim","A","11","1","FALSE"
"Concordus alpha","E","1","1","TRUE"
"Concordus beta","E","1","1","TRUE"
"Concordus gamma","D","1","1","FALSE"
"Danaus plexippus","E","44","4","TRUE"
"Danaus sp.","E","1","1","TRUE"
"Pieris rapae","E","1","1","TRUE"
"Selectus duo","D","2","1","FALSE"
"Selectus unus","B","4","1","FALSE"
