"bin_uri","total_records","unique_species","species_list","concordance"
"BOLD:AAA0001","5","1","Danaus plexippus","Concordant"
"BOLD:AAA0002","7","1","Danaus plexippus","Concordant"
"BOLD:AAA0003","2","1","Danaus plexippus","Concordant"
"BOLD:AAA0900","11","5","Apis nr mellifera; Danaus plexippus; NA; None; Pieris rapae","Discordant"
"BOLD:BAG0002","2","1","Bagsus duo","Concordant"
"BOLD:BAG0003","3","1","Bagsus tres","Concordant"
"BOLD:BAG0010","10","1","Bagsus decem","Concordant"
"BOLD:BAG0011","11","1","Bagsus undecim","Concordant"
"BOLD:BAGC001","3","1","Bagsus multibin","Concordant"
"BOLD:BAGC002","3","1","Bagsus multibin","Concordant"
"BOLD:BAGE001","8","2","Bagsus sharedone; Bagsus sharedtwo","Discordant"
"BOLD:BAGG001","4","1","Bagsus genusonly","Concordant"
"BOLD:CON0001","2","2","Concordus alpha; Concordus beta","Discordant"
"BOLD:CON0002","2","1","Concordus gamma","Concordant"
"BOLD:CON0003","2","0","","Discordant"
"BOLD:SEL0001","4","1","Selectus unus","Concordant"
"BOLD:SEL0002","2","1","Selectus duo","Concordant"
