"processid","species","quality_score","criteria_met","rank","selected"
"PAR0001","Danaus plexippus","2","SPECIES_ID; SEQ_QUALITY","5","TRUE"
"PAR0002","Danaus sp.","1","SEQ_QUALITY","7","FALSE"
"PAR0003","","1","SEQ_QUALITY","7","FALSE"
"PAR0004","","1","SEQ_QUALITY","7","FALSE"
"PAR0005","","1","SEQ_QUALITY","7","FALSE"
"PAR0006","Apis nr mellifera","1","SEQ_QUALITY","7","FALSE"
"PAR0007","","1","SEQ_QUALITY","7","FALSE"
"PAR0008","","1","SEQ_QUALITY","7","FALSE"
"PAR0009","None","1","SEQ_QUALITY","7","FALSE"
"PAR0010","NA","1","SEQ_QUALITY","7","FALSE"
"PAR0011","Pieris rapae","2","SPECIES_ID; SEQ_QUALITY","5","FALSE"
"PAR0012","Danaus plexippus","2","SPECIES_ID; SEQ_QUALITY","5","TRUE"
"PAR0013","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0014","Danaus plexippus","2","SPECIES_ID; SEQ_QUALITY","5","FALSE"
"PAR0015","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0016","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0017","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0018","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0019","Danaus plexippus","0","","7","FALSE"
"PAR0020","Danaus plexippus","2","SPECIES_ID; PUBLIC_VOUCHER","6","FALSE"
"PAR0021","Danaus plexippus","2","SPECIES_ID; PUBLIC_VOUCHER","6","FALSE"
"PAR0022","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0023","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0024","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0025","Danaus plexippus","2","SPECIES_ID; PUBLIC_VOUCHER","6","FALSE"
"PAR0026","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0027","Danaus plexippus","3","SPECIES_ID; TYPE_SPECIMEN; PUBLIC_VOUCHER","1","FALSE"
"PAR0028","Danaus plexippus","2","SPECIES_ID; TYPE_SPECIMEN","1","FALSE"
"PAR0029","Danaus plexippus","2","SPECIES_ID; TYPE_SPECIMEN","1","FALSE"
"PAR0030","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0031","Danaus plexippus","2","SPECIES_ID; IDENTIFIER","6","FALSE"
"PAR0032","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0033","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0034","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0035","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0036","Danaus plexippus","2","SPECIES_ID; ID_METHOD","6","FALSE"
"PAR0037","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0038","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0039","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0040","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0041","Danaus plexippus","2","SPECIES_ID; INSTITUTION","6","FALSE"
"PAR0042","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0043","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0044","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0045","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0046","Danaus plexippus","2","SPECIES_ID; TYPE_SPECIMEN","1","FALSE"
"PAR0047","Danaus plexippus","11","SPECIES_ID; SEQ_QUALITY; PUBLIC_VOUCHER; IDENTIFIER; ID_METHOD; COLLECTORS; COLLECTION_DATE; COUNTRY; SITE; INSTITUTION; MUSEUM_ID","3","TRUE"
"PAR0048","Danaus plexippus","11","SPECIES_ID; SEQ_QUALITY; PUBLIC_VOUCHER; IDENTIFIER; ID_METHOD; COLLECTORS; COLLECTION_DATE; COUNTRY; SECTOR; INSTITUTION; MUSEUM_ID","3","FALSE"
"PAR0049","Danaus plexippus","11","SPECIES_ID; SEQ_QUALITY; PUBLIC_VOUCHER; IDENTIFIER; ID_METHOD; COLLECTORS; COLLECTION_DATE; COUNTRY; REGION; INSTITUTION; MUSEUM_ID","3","FALSE"
"PAR0050","Danaus plexippus","11","SPECIES_ID; SEQ_QUALITY; PUBLIC_VOUCHER; IDENTIFIER; ID_METHOD; COLLECTORS; COLLECTION_DATE; COUNTRY; COORD; INSTITUTION; MUSEUM_ID","3","FALSE"
"PAR0051","Danaus plexippus","8","SPECIES_ID; SEQ_QUALITY; PUBLIC_VOUCHER; IDENTIFIER; ID_METHOD; COUNTRY; INSTITUTION; MUSEUM_ID","3","FALSE"
"PAR0052","Danaus plexippus","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0053","Danaus plexippus","2","SPECIES_ID; SEQ_QUALITY","5","TRUE"
"PAR0054","Danaus plexippus","1","SPECIES_ID","6","FALSE"
"PAR0055","Danaus sp.","0","","7","FALSE"
"PAR0056","Bagsus duo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0057","Bagsus duo","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0058","Bagsus tres","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0059","Bagsus tres","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0060","Bagsus tres","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0061","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0062","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0063","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0064","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0065","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0066","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0067","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0068","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0069","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0070","Bagsus decem","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0071","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","TRUE"
"PAR0072","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0073","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0074","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0075","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
"PAR0076","Bagsus undecim","3","SPECIES_ID; SEQ_QUALITY; COUNTRY","4","FALSE"
